candidate,candidate_type,imputation,model,training_mode,alpha,NDCG_at_K,Precision_at_K,Recall_at_K,AveragePrecision,TopWeightedRMSE,RMSE,MAE,R2,K,DiversePrecision_at_K,DiverseRecall_at_K,TolerantPrecision_at_K,TolerantRecall_at_K,TolerantDiversePrecision_at_K,TolerantDiverseRecall_at_K,ToleranceSec,MinGapSec
hybrid__alpha_0.3__regression__missing_rows_mean__xgboost_gpu__highlight_weighted__PLUS__classifier__missing_rows_interpolate__gradient_boosting_clf__standard,hybrid,hybrid,rank_regression_plus_topk_classifier,hybrid_score,0.3,0.838533940710278,0.6071428571428571,0.6071428571428571,0.6400327172120472,0.20008131743730037,0.15200570331534086,0.11258587156968188,0.4063924790465845,28,0.4642857142857143,0.4642857142857143,0.9642857142857143,0.7142857142857143,0.7142857142857143,0.6785714285714286,10,10
hybrid__alpha_0.7__regression__missing_rows_interpolate__random_forest__highlight_weighted__PLUS__classifier__missing_rows_interpolate__xgboost_gpu_clf__highlight_weighted,hybrid,hybrid,rank_regression_plus_topk_classifier,hybrid_score,0.7,0.8384230637386664,0.6071428571428571,0.6071428571428571,0.6348200461374521,0.17946602949858656,0.17380157928904455,0.1381246000991968,0.22395471367088438,28,0.39285714285714285,0.39285714285714285,0.9285714285714286,0.7142857142857143,0.6071428571428571,0.5357142857142857,10,10
hybrid__alpha_0.7__regression__missing_rows_interpolate__random_forest__standard__PLUS__classifier__missing_rows_interpolate__gradient_boosting_clf__highlight_weighted,hybrid,hybrid,rank_regression_plus_topk_classifier,hybrid_score,0.7,0.8379616062271408,0.5714285714285714,0.5714285714285714,0.6637999873571958,0.1705289859683979,0.1689598873901407,0.13221638782815884,0.26658995942371244,28,0.42857142857142855,0.42857142857142855,0.9285714285714286,0.6428571428571429,0.6428571428571429,0.6071428571428571,10,10
hybrid__alpha_0.3__regression__missing_rows_interpolate__random_forest__highlight_weighted__PLUS__classifier__missing_rows_interpolate__gradient_boosting_clf__highlight_weighted,hybrid,hybrid,rank_regression_plus_topk_classifier,hybrid_score,0.3,0.8379138715524207,0.5714285714285714,0.5714285714285714,0.6505949327923509,0.18139202815714306,0.1532125988883516,0.10932623646110279,0.39692880235645767,28,0.42857142857142855,0.42857142857142855,0.9285714285714286,0.6785714285714286,0.6071428571428571,0.5714285714285714,10,10
hybrid__alpha_0.7__regression__missing_rows_interpolate__random_forest__highlight_weighted__PLUS__classifier__missing_rows_interpolate__gradient_boosting_clf__highlight_weighted,hybrid,hybrid,rank_regression_plus_topk_classifier,hybrid_score,0.7,0.8378390804032103,0.5714285714285714,0.5714285714285714,0.6527493049359686,0.17439460255643716,0.1747677274367316,0.1366212860314251,0.21530279363868343,28,0.42857142857142855,0.42857142857142855,0.9285714285714286,0.6428571428571429,0.6071428571428571,0.5714285714285714,10,10
hybrid__alpha_0.5__regression__missing_rows_interpolate__random_forest__standard__PLUS__classifier__missing_rows_interpolate__gradient_boosting_clf__highlight_weighted,hybrid,hybrid,rank_regression_plus_topk_classifier,hybrid_score,0.5,0.8375550004400427,0.5714285714285714,0.5714285714285714,0.6451796614840457,0.1609586372610256,0.14087551450165,0.0990335819196261,0.4901403320293277,28,0.42857142857142855,0.42857142857142855,0.9285714285714286,0.6785714285714286,0.6071428571428571,0.5714285714285714,10,10
hybrid__alpha_0.7__regression__missing_rows_mean__xgboost_gpu__highlight_weighted__PLUS__classifier__missing_rows_interpolate__gradient_boosting_clf__standard,hybrid,hybrid,rank_regression_plus_topk_classifier,hybrid_score,0.7,0.8374637483367289,0.5714285714285714,0.5714285714285714,0.6513359970631893,0.17172680736281012,0.16199683014917912,0.12769139508341398,0.3257939245836605,28,0.42857142857142855,0.42857142857142855,0.8928571428571429,0.6785714285714286,0.6428571428571429,0.6428571428571429,10,10
hybrid__alpha_0.3__regression__missing_rows_interpolate__random_forest__standard__PLUS__classifier__missing_rows_interpolate__gradient_boosting_clf__highlight_weighted,hybrid,hybrid,rank_regression_plus_topk_classifier,hybrid_score,0.3,0.8374373930792782,0.5714285714285714,0.5714285714285714,0.6390997132151258,0.1822960609925011,0.1538627169221762,0.11002626367926865,0.39179999072413263,28,0.42857142857142855,0.42857142857142855,0.9285714285714286,0.6785714285714286,0.6071428571428571,0.5714285714285714,10,10
hybrid__alpha_0.5__regression__missing_rows_interpolate__random_forest__highlight_weighted__PLUS__classifier__all_zeros_mean__gradient_boosting_clf__standard,hybrid,hybrid,rank_regression_plus_topk_classifier,hybrid_score,0.5,0.8372193990754119,0.5714285714285714,0.5714285714285714,0.6745828735841869,0.16985382010636224,0.12989057363365542,0.09324686440254017,0.5665541012644693,28,0.42857142857142855,0.42857142857142855,0.9642857142857143,0.6785714285714286,0.6785714285714286,0.6071428571428571,10,10
hybrid__alpha_0.5__regression__missing_rows_interpolate__random_forest__highlight_weighted__PLUS__classifier__missing_rows_interpolate__gradient_boosting_clf__standard,hybrid,hybrid,rank_regression_plus_topk_classifier,hybrid_score,0.5,0.837123430259617,0.6071428571428571,0.6071428571428571,0.6201058171908209,0.1620269995432261,0.12903538134423628,0.09307607279840459,0.5722428793377787,28,0.4642857142857143,0.4642857142857143,0.9642857142857143,0.7142857142857143,0.7142857142857143,0.6785714285714286,10,10
