candidate,candidate_type,imputation,model,training_mode,alpha,NDCG_at_K,Precision_at_K,Recall_at_K,AveragePrecision,TopWeightedRMSE,RMSE,MAE,R2,K,DiversePrecision_at_K,DiverseRecall_at_K,TolerantPrecision_at_K,TolerantRecall_at_K,TolerantDiversePrecision_at_K,TolerantDiverseRecall_at_K,ToleranceSec,MinGapSec
hybrid__alpha_0.5__regression__missing_rows_interpolate__random_forest__highlight_weighted__PLUS__classifier__missing_rows_interpolate__random_forest_clf__highlight_weighted,hybrid,hybrid,rank_regression_plus_topk_classifier,hybrid_score,0.5,0.9327439591080351,0.7142857142857143,0.7142857142857143,0.7935818077672852,0.15878578812996041,0.15338987960336106,0.10503940990043921,0.3861230800909734,28,0.5,0.5,0.9642857142857143,0.75,0.75,0.6785714285714286,10,10
hybrid__alpha_0.5__regression__missing_rows_interpolate__xgboost_gpu__highlight_weighted__PLUS__classifier__missing_rows_interpolate__random_forest_clf__highlight_weighted,hybrid,hybrid,rank_regression_plus_topk_classifier,hybrid_score,0.5,0.9327071228555375,0.7142857142857143,0.7142857142857143,0.804233310061945,0.1584381133432129,0.15104728721650817,0.1055181555747363,0.4047303343219437,28,0.5,0.5,0.9642857142857143,0.75,0.75,0.6785714285714286,10,10
hybrid__alpha_0.5__regression__missing_rows_interpolate__extra_trees__highlight_weighted__PLUS__classifier__missing_rows_interpolate__random_forest_clf__standard,hybrid,hybrid,rank_regression_plus_topk_classifier,hybrid_score,0.5,0.9319147928905257,0.7142857142857143,0.7142857142857143,0.7829673999601353,0.15520426164098766,0.14708235829464678,0.10457633686684639,0.4355713350949246,28,0.42857142857142855,0.42857142857142855,0.9642857142857143,0.75,0.6785714285714286,0.6428571428571429,10,10
hybrid__alpha_0.3__regression__missing_rows_interpolate__random_forest__standard__PLUS__classifier__missing_rows_interpolate__random_forest_clf__highlight_weighted,hybrid,hybrid,rank_regression_plus_topk_classifier,hybrid_score,0.3,0.9310466254665314,0.7142857142857143,0.7142857142857143,0.7935387330559216,0.16427060085256137,0.15811219568721524,0.117807497333663,0.3477431756178083,28,0.5,0.5,0.9642857142857143,0.75,0.75,0.6785714285714286,10,10
hybrid__alpha_0.3__regression__missing_rows_interpolate__random_forest__standard__PLUS__classifier__missing_rows_interpolate__gradient_boosting_clf__standard,hybrid,hybrid,rank_regression_plus_topk_classifier,hybrid_score,0.3,0.9309188827080431,0.75,0.75,0.8127268246261982,0.16542913799328282,0.1302104217957572,0.09627286824200293,0.5576364000004859,28,0.39285714285714285,0.39285714285714285,0.9285714285714286,0.8571428571428571,0.6428571428571429,0.6428571428571429,10,10
hybrid__alpha_0.3__regression__missing_rows_interpolate__xgboost_gpu__highlight_weighted__PLUS__classifier__missing_rows_interpolate__random_forest_clf__highlight_weighted,hybrid,hybrid,rank_regression_plus_topk_classifier,hybrid_score,0.3,0.9309101769221256,0.7142857142857143,0.7142857142857143,0.7959749620248389,0.165555171297683,0.15791632627948796,0.11782120379096059,0.3493582063183983,28,0.5,0.5,0.9642857142857143,0.75,0.75,0.6785714285714286,10,10
hybrid__alpha_0.5__regression__missing_rows_interpolate__extra_trees__highlight_weighted__PLUS__classifier__missing_rows_interpolate__random_forest_clf__highlight_weighted,hybrid,hybrid,rank_regression_plus_topk_classifier,hybrid_score,0.5,0.9308147184091455,0.7142857142857143,0.7142857142857143,0.7876124986626205,0.16073772665548153,0.15598542449427227,0.10569119122348608,0.36517220922595695,28,0.5,0.5,0.9642857142857143,0.75,0.7142857142857143,0.6785714285714286,10,10
hybrid__alpha_0.5__regression__missing_rows_interpolate__extra_trees__highlight_weighted__PLUS__classifier__missing_rows_interpolate__gradient_boosting_clf__standard,hybrid,hybrid,rank_regression_plus_topk_classifier,hybrid_score,0.5,0.9306821151355548,0.75,0.75,0.8103086682238984,0.13183273938610063,0.11475042869857499,0.08332185502953594,0.6564448005268415,28,0.39285714285714285,0.39285714285714285,0.9285714285714286,0.8571428571428571,0.6785714285714286,0.6785714285714286,10,10
hybrid__alpha_0.3__regression__missing_rows_interpolate__random_forest__highlight_weighted__PLUS__classifier__missing_rows_interpolate__random_forest_clf__highlight_weighted,hybrid,hybrid,rank_regression_plus_topk_classifier,hybrid_score,0.3,0.93060800169344,0.7142857142857143,0.7142857142857143,0.7912807466671226,0.1659305123137535,0.16003526569472626,0.11865035274520572,0.3317802882598576,28,0.5,0.5,0.9642857142857143,0.75,0.75,0.6785714285714286,10,10
hybrid__alpha_0.7__regression__missing_rows_interpolate__xgboost_gpu__highlight_weighted__PLUS__classifier__missing_rows_interpolate__random_forest_clf__highlight_weighted,hybrid,hybrid,rank_regression_plus_topk_classifier,hybrid_score,0.7,0.929628450107634,0.7142857142857143,0.7142857142857143,0.8030799956044798,0.18242441858919475,0.18654322442111126,0.14095254862808948,0.0920815304759448,28,0.5,0.5,0.9642857142857143,0.75,0.75,0.6785714285714286,10,10
