start_sec,end_sec,start_time,end_time,num_detections,character_count,emotion_count,avg_mismatch,emotion_entropy,transition_score,avg_emotion_confidence,highlight_score
680,685,11:20,11:25,3,3,3,0.3,0.5645750325118847,0.0,0.40802576144536334,0.3361437581279712
925,930,15:25,15:30,1,1,1,0.7,-5.13898384632941e-10,0.0,0.21404975652694702,0.3349999998715254
1535,1540,25:35,25:40,2,1,1,0.7,-5.13898384632941e-10,0.0,0.44288893043994904,0.3349999998715254
1520,1525,25:20,25:25,1,1,1,0.7,-5.13898384632941e-10,0.0,0.65711510181427,0.3349999998715254
1295,1300,21:35,21:40,1,1,1,0.7,-5.13898384632941e-10,0.0,0.43787550926208496,0.3349999998715254
1650,1655,27:30,27:35,1,1,1,0.7,-5.13898384632941e-10,0.0,0.3361668884754181,0.3349999998715254
1125,1130,18:45,18:50,1,1,1,0.7,-5.13898384632941e-10,0.0,0.24454598128795624,0.3349999998715254
1145,1150,19:05,19:10,1,1,1,0.7,-5.13898384632941e-10,0.0,0.4504678547382355,0.3349999998715254
770,775,12:50,12:55,2,2,1,0.65,-5.13898384632941e-10,0.0,0.4204965829849243,0.33249999987152545
1135,1140,18:55,19:00,2,2,1,0.65,-5.13898384632941e-10,0.0,0.5733809769153595,0.33249999987152545
505,510,08:25,08:30,2,2,2,0.45,0.3562071860802255,0.0,0.3485279455780983,0.3315517965200564
330,335,05:30,05:35,2,2,2,0.45,0.3562071860802255,0.0,0.2783787027001381,0.3315517965200564
745,750,12:25,12:30,2,2,2,0.45,0.3562071860802255,0.0,0.3473106473684311,0.3315517965200564
405,410,06:45,06:50,2,2,2,0.45,0.3562071860802255,0.0,0.305148646235466,0.3315517965200564
1675,1680,27:55,28:00,2,2,2,0.45,0.3562071860802255,0.0,0.4916277527809143,0.3315517965200564
715,720,11:55,12:00,2,1,2,0.4,0.3562071860802255,0.2,0.5638442784547806,0.32905179652005645
1435,1440,23:55,24:00,2,1,2,0.4,0.3562071860802255,0.2,0.40646205842494965,0.32905179652005645
1355,1360,22:35,22:40,2,1,2,0.4,0.3562071860802255,0.2,0.5841480642557144,0.32905179652005645
905,910,15:05,15:10,3,2,2,0.3666666666666667,0.3271035749537682,0.2,0.3720016082127889,0.32677589373844207
950,955,15:50,15:55,3,2,2,0.3666666666666667,0.3271035749537682,0.2,0.3955942988395691,0.32677589373844207
1660,1665,27:40,27:45,4,3,2,0.425,0.28898309764806296,0.0,0.38696713745594025,0.32349577441201577
490,495,08:10,08:15,4,4,3,0.225,0.5343107791203382,0.0,0.42728693783283234,0.31482769478008454
640,645,10:40,10:45,4,3,3,0.175,0.5343107791203382,0.2,0.3518896698951721,0.31232769478008454
585,590,09:45,09:50,3,2,2,0.3333333333333333,0.3271035749537682,0.2,0.4355219105879466,0.31177589373844206
185,190,03:05,03:10,4,2,2,0.35,0.28898309764806296,0.2,0.4967927187681198,0.3097457744120158
805,810,13:25,13:30,2,2,2,0.4,0.3562071860802255,0.0,0.4560517966747284,0.30905179652005643
685,690,11:25,11:30,2,2,2,0.4,0.3562071860802255,0.0,0.38682839274406433,0.30905179652005643
1075,1080,17:55,18:00,3,2,2,0.3,0.3271035749537682,0.2,0.5030079185962677,0.29677589373844204
800,805,13:20,13:25,3,2,3,0.16666666666666666,0.5645750325118847,0.2,0.42819209893544513,0.2961437581279712
1505,1510,25:05,25:10,3,2,3,0.16666666666666666,0.5645750325118847,0.2,0.39059319098790485,0.2961437581279712
1385,1390,23:05,23:10,8,2,2,0.275,0.19362156029626987,0.4,0.5512787364423275,0.29215539007406754
1300,1305,21:40,21:45,1,1,1,0.6,-5.13898384632941e-10,0.0,0.6911225914955139,0.2899999998715254
460,465,07:40,07:45,1,1,1,0.6,-5.13898384632941e-10,0.0,0.3120397925376892,0.2899999998715254
55,60,00:55,01:00,1,1,1,0.6,-5.13898384632941e-10,0.0,0.26645296812057495,0.2899999998715254
965,970,16:05,16:10,1,1,1,0.6,-5.13898384632941e-10,0.0,0.5567895174026489,0.2899999998715254
975,980,16:15,16:20,1,1,1,0.6,-5.13898384632941e-10,0.0,0.27959558367729187,0.2899999998715254
1410,1415,23:30,23:35,2,2,2,0.35,0.3562071860802255,0.0,0.2813233286142349,0.28655179652005636
1140,1145,19:00,19:05,2,2,2,0.35,0.3562071860802255,0.0,0.42952704429626465,0.28655179652005636
